email,label
"Hi Michael, can we reschedule our call to Tuesday at 9:00 AM?",ham
Could you please review the report before our Thursday meeting?,ham
ALERT: Unusual login detected. Click claim-prize.co to secure your account NOW.,spam
URGENT: Your account will be suspended. Verify immediately at claim-prize.co,spam
CONGRATULATIONS! YOU QUALIFY FOR A $1000 GOVERNMENT GRANT. APPLY NOW.,spam
Quick reminder: the Budget Analysis deadline is next Friday. Please submit your work.,ham
FREE offer! Get gift card absolutely free. Limited time offer. Act now!,spam
"Hi, I'm reaching out regarding the Software Engineer position at our company.",ham
Increase your income by $25000 monthly with our proven system.,spam
Reminder: Your subscription renews on Friday. No action needed if you wish to continue.,ham
"Hi David, just wanted to follow up on our meeting scheduled for Wednesday.",ham
ALERT: Unusual login detected. Click verify-now.net to secure your account NOW.,spam
Your PayPal account is limited. Confirm your identity at secure-login.xyz immediately.,spam
The team lunch is on Thursday at 2:00 PM. Hope to see everyone there!,ham
Work from home and earn $50000/week. No skills needed. Start today!,spam
Make $10000 from home every day! No experience needed. 100% guaranteed.,spam
Congratulations! You qualify for a $10000 government grant. Apply now.,spam
"Happy birthday, Emma! Hope you have a wonderful day.",ham
Your appointment is confirmed for Wednesday at 10:30 AM with Dr. Michael.,ham
Your computer has 5234 viruses! Download our free scanner immediately.,spam
ALERT: UNUSUAL LOGIN DETECTED. CLICK SECURE-LOGIN.XYZ TO SECURE YOUR ACCOUNT NOW.,spam
Your appointment is confirmed for Friday at 9:00 AM with Dr. Lisa.,ham
The Marketing Campaign is on track. We completed 389% of the milestones this week.,ham
Investment opportunity: 304% returns guaranteed. Join 25000 investors.,spam
FREE offer! Get vacation package absolutely free. Limited time offer. Act now!,spam
"Dear winner, your email has won the PowerBall lottery. Send details to claim.",spam
Your appointment is confirmed for Thursday at 9:00 AM with Dr. David.,ham
Investment opportunity: 319% returns guaranteed. Join 50000 investors.,spam
Your computer has 7174 viruses! Download our free scanner immediately.,spam
"Dear winner, your email has won the PowerBall lottery. Send details to claim.",spam
YOU HAVE BEEN SELECTED FOR A SPECIAL CHASE REWARD. CLAIM YOUR $10000 TODAY.,spam
"Hi John, your order #6593 has been processed successfully.",ham
Could you please review the report before our Wednesday meeting?,ham
Quick reminder: the Marketing Campaign deadline is next Monday. Please submit your work.,ham
FREE offer! Get vacation package absolutely free. Limited time offer. Act now!,spam
URGENT: Your account will be suspended. Verify immediately at secure-login.xyz,spam
URGENT: Your account will be suspended. Verify immediately at claim-prize.co,spam
Increase your income by $50000 monthly with our proven system.,spam
Buy iPhone at 90% discount! Today only. Order now for free shipping!,spam
Please find attached the report for Q4 Review. Let me know your thoughts.,ham
The quarterly results are in. Please check the attached contract for details.,ham
Hot singles in your area are waiting. Click here to meet them tonight!,spam
Please find attached the report for Website Redesign. Let me know your thoughts.,ham
Your computer has 9993 viruses! Download our free scanner immediately.,spam
The quarterly results are in. Please check the attached proposal for details.,ham
Hot singles in your area are waiting. Click here to meet them tonight!,spam
Hot singles in your area are waiting. Click here to meet them tonight!,spam
Buy gift card at 90% discount! Today only. Order now for free shipping!,spam
FREE iPhone 16! You are the 1313th visitor. Claim your prize now.,spam
URGENT: YOUR ACCOUNT WILL BE SUSPENDED. VERIFY IMMEDIATELY AT CLAIM-PRIZE.CO,spam
Thanks for your email. I'll review the contract and get back to you by Thursday.,ham
"Happy birthday, Lisa! Hope you have a wonderful day.",ham
CONGRATULATIONS! YOU QUALIFY FOR A $1000 GOVERNMENT GRANT. APPLY NOW.,spam
Make $50000 from home every day! No experience needed. 100% guaranteed.,spam
The Budget Analysis is on track. We completed 111% of the milestones this week.,ham
FREE IPHONE 13 MAX! YOU ARE THE 9281TH VISITOR. CLAIM YOUR PRIZE NOW.,spam
"Hi Michael, can we reschedule our call to Wednesday at 3:30 PM?",ham
The Q4 Review is on track. We completed 135% of the milestones this week.,ham
"Hi Emma, just wanted to follow up on our meeting scheduled for Wednesday.",ham
BUY LAPTOP AT 90% DISCOUNT! TODAY ONLY. ORDER NOW FOR FREE SHIPPING!,spam
FREE offer! Get vacation package absolutely free. Limited time offer. Act now!,spam
YOU HAVE BEEN SELECTED FOR A SPECIAL CITI REWARD. CLAIM YOUR $5000 TODAY.,spam
WORK FROM HOME AND EARN $50000/WEEK. NO SKILLS NEEDED. START TODAY!,spam
URGENT: Your account will be suspended. Verify immediately at verify-now.net,spam
"Dear winner, your email has won the Euro Millions lottery. Send details to claim.",spam
The team lunch is on Wednesday at 2:00 PM. Hope to see everyone there!,ham
FREE iPhone 15 Pro! You are the 9148th visitor. Claim your prize now.,spam
You have been selected for a special Wells Fargo reward. Claim your $500 today.,spam
Congratulations! You've won a $1000 prize. Click here to claim now!,spam
Your computer has 5695 viruses! Download our free scanner immediately.,spam
You have been selected for a special Bank of America reward. Claim your $5000 today.,spam
URGENT: YOUR ACCOUNT WILL BE SUSPENDED. VERIFY IMMEDIATELY AT SECURE-LOGIN.XYZ,spam
"Hi Michael, your order #6605 has been processed successfully.",ham
YOUR PAYPAL ACCOUNT IS LIMITED. CONFIRM YOUR IDENTITY AT CLAIM-PRIZE.CO IMMEDIATELY.,spam
CONGRATULATIONS! YOU'VE WON A $10000 PRIZE. CLICK HERE TO CLAIM NOW!,spam
CONGRATULATIONS! YOU QUALIFY FOR A $1000 GOVERNMENT GRANT. APPLY NOW.,spam
FINAL NOTICE: You owe $500. Pay now to avoid legal action.,spam
Increase your income by $25000 monthly with our proven system.,spam
I've shared the Website Redesign presentation with you on Google Drive.,ham
Quick reminder: the Website Redesign deadline is next Tuesday. Please submit your work.,ham
"Hi Sarah, can we reschedule our call to Wednesday at 4:00 PM?",ham
HOT SINGLES IN YOUR AREA ARE WAITING. CLICK HERE TO MEET THEM TONIGHT!,spam
Your appointment is confirmed for Thursday at 3:30 PM with Dr. Emma.,ham
YOU HAVE BEEN SELECTED FOR A SPECIAL CITI REWARD. CLAIM YOUR $50000 TODAY.,spam
Make $500 from home every day! No experience needed. 100% guaranteed.,spam
Just a heads up that I'll be out of office from Tuesday to Tuesday.,ham
Could you please review the contract before our Friday meeting?,ham
Your PayPal account is limited. Confirm your identity at claim-prize.co immediately.,spam
I've shared the Budget Analysis presentation with you on Google Drive.,ham
"Hi Sarah, just wanted to follow up on our meeting scheduled for Tuesday.",ham
FINAL NOTICE: YOU OWE $1000. PAY NOW TO AVOID LEGAL ACTION.,spam
Your computer has 4054 viruses! Download our free scanner immediately.,spam
Your PayPal account is limited. Confirm your identity at claim-prize.co immediately.,spam
FREE IPHONE 15 PRO! YOU ARE THE 6405TH VISITOR. CLAIM YOUR PRIZE NOW.,spam
Reminder: Your subscription renews on Tuesday. No action needed if you wish to continue.,ham
Please find attached the report for Website Redesign. Let me know your thoughts.,ham
Lose 42 lbs in 30 days! Miracle pill doctors don't want you to know.,spam
"Happy birthday, Sarah! Hope you have a wonderful day.",ham
FREE offer! Get iPhone absolutely free. Limited time offer. Act now!,spam
Buy car at 90% discount! Today only. Order now for free shipping!,spam
HOT SINGLES IN YOUR AREA ARE WAITING. CLICK HERE TO MEET THEM TONIGHT!,spam
ALERT: Unusual login detected. Click secure-login.xyz to secure your account NOW.,spam
Reminder: Your subscription renews on Thursday. No action needed if you wish to continue.,ham
YOU HAVE BEEN SELECTED FOR A SPECIAL BANK OF AMERICA REWARD. CLAIM YOUR $1000 TODAY.,spam
The team lunch is on Friday at 2:00 PM. Hope to see everyone there!,ham
"Hi Sarah, your order #824 has been processed successfully.",ham
Thanks for your email. I'll review the proposal and get back to you by Friday.,ham
Thanks for your email. I'll review the contract and get back to you by Monday.,ham
Can you send me the latest version of the proposal? Thanks.,ham
Please find attached the report for Q4 Review. Let me know your thoughts.,ham
Congratulations! You qualify for a $500 government grant. Apply now.,spam
I've shared the Marketing Campaign presentation with you on Google Drive.,ham
Make $500 from home every day! No experience needed. 100% guaranteed.,spam
Thanks for your email. I'll review the proposal and get back to you by Wednesday.,ham
Can you send me the latest version of the presentation? Thanks.,ham
"Hi David, your order #3895 has been processed successfully.",ham
You have been selected for a special Chase reward. Claim your $500 today.,spam
BUY IPHONE AT 90% DISCOUNT! TODAY ONLY. ORDER NOW FOR FREE SHIPPING!,spam
The Budget Analysis is on track. We completed 63% of the milestones this week.,ham
ALERT: UNUSUAL LOGIN DETECTED. CLICK SECURE-LOGIN.XYZ TO SECURE YOUR ACCOUNT NOW.,spam
YOUR PAYPAL ACCOUNT IS LIMITED. CONFIRM YOUR IDENTITY AT VERIFY-NOW.NET IMMEDIATELY.,spam
"Hi, I'm reaching out regarding the Product Manager position at our company.",ham
"Hi, I'm reaching out regarding the Designer position at our company.",ham
"Hi, I'm reaching out regarding the Data Analyst position at our company.",ham
FINAL NOTICE: YOU OWE $5000. PAY NOW TO AVOID LEGAL ACTION.,spam
"Hi Lisa, your order #5197 has been processed successfully.",ham
Lose 48 lbs in 30 days! Miracle pill doctors don't want you to know.,spam
Congratulations! You've won a $50000 prize. Click here to claim now!,spam
Just a heads up that I'll be out of office from Tuesday to Tuesday.,ham
Your package has been shipped. Expected delivery: Friday. Track at verify-now.net,ham
FINAL NOTICE: YOU OWE $50000. PAY NOW TO AVOID LEGAL ACTION.,spam
Please find attached the report for Q4 Review. Let me know your thoughts.,ham
ALERT: Unusual login detected. Click claim-prize.co to secure your account NOW.,spam
CONGRATULATIONS! YOU QUALIFY FOR A $10000 GOVERNMENT GRANT. APPLY NOW.,spam
"Hi Lisa, your order #3142 has been processed successfully.",ham
Can you send me the latest version of the presentation? Thanks.,ham
"Hi Sarah, can we reschedule our call to Monday at 10:30 AM?",ham
Congratulations! You've won a $25000 prize. Click here to claim now!,spam
FREE offer! Get iPhone absolutely free. Limited time offer. Act now!,spam
Could you please review the contract before our Thursday meeting?,ham
I've shared the Budget Analysis presentation with you on Google Drive.,ham
Quick reminder: the Website Redesign deadline is next Thursday. Please submit your work.,ham
Work from home and earn $50000/week. No skills needed. Start today!,spam
Please find attached the report for Budget Analysis. Let me know your thoughts.,ham
The quarterly results are in. Please check the attached contract for details.,ham
Lose 43 lbs in 7 days! Miracle pill doctors don't want you to know.,spam
Your package has been shipped. Expected delivery: Wednesday. Track at claim-prize.co,ham
Just a heads up that I'll be out of office from Wednesday to Wednesday.,ham
MEET JOHN WHO MAKES $25000/DAY TRADING CRYPTO. LEARN HIS SECRET!,spam
Lose 46 lbs in 14 days! Miracle pill doctors don't want you to know.,spam
The team lunch is on Wednesday at 4:00 PM. Hope to see everyone there!,ham
Congratulations! You've won a $500 prize. Click here to claim now!,spam
Thanks for your email. I'll review the contract and get back to you by Monday.,ham
Hot singles in your area are waiting. Click here to meet them tonight!,spam
The Budget Analysis is on track. We completed 269% of the milestones this week.,ham
FREE iPhone 16! You are the 7035th visitor. Claim your prize now.,spam
Congratulations! You've won a $1000 prize. Click here to claim now!,spam
ALERT: Unusual login detected. Click claim-prize.co to secure your account NOW.,spam
I've shared the Q4 Review presentation with you on Google Drive.,ham
URGENT: Your account will be suspended. Verify immediately at claim-prize.co,spam
I've shared the Website Redesign presentation with you on Google Drive.,ham
The Website Redesign is on track. We completed 251% of the milestones this week.,ham
I've shared the Marketing Campaign presentation with you on Google Drive.,ham
Meet John who makes $25000/day trading crypto. Learn his secret!,spam
Hot singles in your area are waiting. Click here to meet them tonight!,spam
Quick reminder: the Marketing Campaign deadline is next Wednesday. Please submit your work.,ham
Buy laptop at 90% discount! Today only. Order now for free shipping!,spam
Reminder: Your subscription renews on Monday. No action needed if you wish to continue.,ham
Just a heads up that I'll be out of office from Thursday to Thursday.,ham
BUY VACATION PACKAGE AT 90% DISCOUNT! TODAY ONLY. ORDER NOW FOR FREE SHIPPING!,spam
Meeting notes from Friday: Q4 Review discussed. Next steps assigned to Sarah.,ham
"Hi David, just wanted to follow up on our meeting scheduled for Friday.",ham
Lose 11 lbs in 21 days! Miracle pill doctors don't want you to know.,spam
LOSE 21 LBS IN 7 DAYS! MIRACLE PILL DOCTORS DON'T WANT YOU TO KNOW.,spam
INCREASE YOUR INCOME BY $25000 MONTHLY WITH OUR PROVEN SYSTEM.,spam
Congratulations! You've won a $50000 prize. Click here to claim now!,spam
URGENT: Your account will be suspended. Verify immediately at claim-prize.co,spam
Your package has been shipped. Expected delivery: Wednesday. Track at verify-now.net,ham
Meet Sarah who makes $1000/day trading crypto. Learn his secret!,spam
The quarterly results are in. Please check the attached contract for details.,ham
Please find attached the report for Q4 Review. Let me know your thoughts.,ham
Your appointment is confirmed for Monday at 2:00 PM with Dr. Michael.,ham
YOU HAVE BEEN SELECTED FOR A SPECIAL CITI REWARD. CLAIM YOUR $25000 TODAY.,spam
"Hi Sarah, your order #3056 has been processed successfully.",ham
Exclusive deal for you: laptop at $500. Order before midnight!,spam
Just a heads up that I'll be out of office from Friday to Friday.,ham
Your computer has 8206 viruses! Download our free scanner immediately.,spam
The Website Redesign is on track. We completed 373% of the milestones this week.,ham
WORK FROM HOME AND EARN $5000/WEEK. NO SKILLS NEEDED. START TODAY!,spam
Your computer has 6507 viruses! Download our free scanner immediately.,spam
Quick reminder: the Marketing Campaign deadline is next Tuesday. Please submit your work.,ham
The monthly newsletter is ready. Read about updates to laptop and more.,ham
Your PayPal account is limited. Confirm your identity at claim-prize.co immediately.,spam
Just a heads up that I'll be out of office from Tuesday to Tuesday.,ham
Your computer has 3968 viruses! Download our free scanner immediately.,spam
Buy iPhone at 90% discount! Today only. Order now for free shipping!,spam
HOT SINGLES IN YOUR AREA ARE WAITING. CLICK HERE TO MEET THEM TONIGHT!,spam
Quick reminder: the Q4 Review deadline is next Monday. Please submit your work.,ham
Please find attached the report for Marketing Campaign. Let me know your thoughts.,ham
Buy laptop at 90% discount! Today only. Order now for free shipping!,spam
Your package has been shipped. Expected delivery: Monday. Track at claim-prize.co,ham
Can you send me the latest version of the contract? Thanks.,ham
Your appointment is confirmed for Thursday at 2:00 PM with Dr. Emma.,ham
Can you send me the latest version of the proposal? Thanks.,ham
The monthly newsletter is ready. Read about updates to car and more.,ham
"Dear winner, your email has won the PowerBall lottery. Send details to claim.",spam
Could you please review the contract before our Wednesday meeting?,ham
The quarterly results are in. Please check the attached proposal for details.,ham
Could you please review the spreadsheet before our Tuesday meeting?,ham
Can you send me the latest version of the presentation? Thanks.,ham
The team lunch is on Monday at 4:00 PM. Hope to see everyone there!,ham
"Hi John, your order #6658 has been processed successfully.",ham
"Dear winner, your email has won the Mega Millions lottery. Send details to claim.",spam
The monthly newsletter is ready. Read about updates to gift card and more.,ham
Reminder: Your subscription renews on Thursday. No action needed if you wish to continue.,ham
Work from home and earn $1000/week. No skills needed. Start today!,spam
Can you send me the latest version of the proposal? Thanks.,ham
Buy car at 90% discount! Today only. Order now for free shipping!,spam
I've shared the Q4 Review presentation with you on Google Drive.,ham
CONGRATULATIONS! YOU'VE WON A $50000 PRIZE. CLICK HERE TO CLAIM NOW!,spam
I've shared the Budget Analysis presentation with you on Google Drive.,ham
Reminder: Your subscription renews on Friday. No action needed if you wish to continue.,ham
The quarterly results are in. Please check the attached contract for details.,ham
Quick reminder: the Budget Analysis deadline is next Monday. Please submit your work.,ham
BUY IPHONE AT 90% DISCOUNT! TODAY ONLY. ORDER NOW FOR FREE SHIPPING!,spam
Meet Emma who makes $500/day trading crypto. Learn his secret!,spam
Quick reminder: the Budget Analysis deadline is next Thursday. Please submit your work.,ham
FREE offer! Get gift card absolutely free. Limited time offer. Act now!,spam
URGENT: Your account will be suspended. Verify immediately at secure-login.xyz,spam
Your package has been shipped. Expected delivery: Tuesday. Track at secure-login.xyz,ham
HOT SINGLES IN YOUR AREA ARE WAITING. CLICK HERE TO MEET THEM TONIGHT!,spam
YOU HAVE BEEN SELECTED FOR A SPECIAL CITI REWARD. CLAIM YOUR $50000 TODAY.,spam
The monthly newsletter is ready. Read about updates to gift card and more.,ham
Just a heads up that I'll be out of office from Tuesday to Tuesday.,ham
The Website Redesign is on track. We completed 322% of the milestones this week.,ham
Meet Emma who makes $25000/day trading crypto. Learn his secret!,spam
The team lunch is on Monday at 2:00 PM. Hope to see everyone there!,ham
"Dear winner, your email has won the Mega Millions lottery. Send details to claim.",spam
I've shared the Q4 Review presentation with you on Google Drive.,ham
I've shared the Marketing Campaign presentation with you on Google Drive.,ham
Your PayPal account is limited. Confirm your identity at claim-prize.co immediately.,spam
FINAL NOTICE: You owe $5000. Pay now to avoid legal action.,spam
You have been selected for a special Chase reward. Claim your $1000 today.,spam
The Q4 Review is on track. We completed 433% of the milestones this week.,ham
CONGRATULATIONS! YOU'VE WON A $5000 PRIZE. CLICK HERE TO CLAIM NOW!,spam
YOUR PAYPAL ACCOUNT IS LIMITED. CONFIRM YOUR IDENTITY AT CLAIM-PRIZE.CO IMMEDIATELY.,spam
The quarterly results are in. Please check the attached proposal for details.,ham
Could you please review the contract before our Tuesday meeting?,ham
Exclusive deal for you: iPhone at $5000. Order before midnight!,spam
LOSE 16 LBS IN 7 DAYS! MIRACLE PILL DOCTORS DON'T WANT YOU TO KNOW.,spam
The Marketing Campaign is on track. We completed 495% of the milestones this week.,ham
FINAL NOTICE: YOU OWE $1000. PAY NOW TO AVOID LEGAL ACTION.,spam
Work from home and earn $1000/week. No skills needed. Start today!,spam
INCREASE YOUR INCOME BY $10000 MONTHLY WITH OUR PROVEN SYSTEM.,spam
The quarterly results are in. Please check the attached spreadsheet for details.,ham
Your appointment is confirmed for Monday at 2:00 PM with Dr. Sarah.,ham
FREE offer! Get gift card absolutely free. Limited time offer. Act now!,spam
Your computer has 3405 viruses! Download our free scanner immediately.,spam
Congratulations! You've won a $25000 prize. Click here to claim now!,spam
"Happy birthday, Emma! Hope you have a wonderful day.",ham
URGENT: Your account will be suspended. Verify immediately at verify-now.net,spam
FREE offer! Get vacation package absolutely free. Limited time offer. Act now!,spam
"Hi, I'm reaching out regarding the Software Engineer position at our company.",ham
Your package has been shipped. Expected delivery: Monday. Track at secure-login.xyz,ham
Please find attached the report for Q4 Review. Let me know your thoughts.,ham
Meeting notes from Wednesday: Marketing Campaign discussed. Next steps assigned to Emma.,ham
YOU HAVE BEEN SELECTED FOR A SPECIAL CHASE REWARD. CLAIM YOUR $1000 TODAY.,spam
YOU HAVE BEEN SELECTED FOR A SPECIAL CHASE REWARD. CLAIM YOUR $5000 TODAY.,spam
The Website Redesign is on track. We completed 384% of the milestones this week.,ham
You have been selected for a special Citi reward. Claim your $25000 today.,spam
FREE IPHONE 14! YOU ARE THE 8345TH VISITOR. CLAIM YOUR PRIZE NOW.,spam
"Hi, I'm reaching out regarding the Data Analyst position at our company.",ham
Can you send me the latest version of the report? Thanks.,ham
The quarterly results are in. Please check the attached presentation for details.,ham
FINAL NOTICE: You owe $10000. Pay now to avoid legal action.,spam
Buy gift card at 90% discount! Today only. Order now for free shipping!,spam
Your computer has 5338 viruses! Download our free scanner immediately.,spam
Your PayPal account is limited. Confirm your identity at secure-login.xyz immediately.,spam
CONGRATULATIONS! YOU'VE WON A $500 PRIZE. CLICK HERE TO CLAIM NOW!,spam
Your PayPal account is limited. Confirm your identity at secure-login.xyz immediately.,spam
Meeting notes from Monday: Budget Analysis discussed. Next steps assigned to Lisa.,ham
I've shared the Marketing Campaign presentation with you on Google Drive.,ham
ALERT: Unusual login detected. Click verify-now.net to secure your account NOW.,spam
Please find attached the report for Q4 Review. Let me know your thoughts.,ham
The Q4 Review is on track. We completed 39% of the milestones this week.,ham
The team lunch is on Thursday at 4:00 PM. Hope to see everyone there!,ham
"Hi Emma, can we reschedule our call to Thursday at 9:00 AM?",ham
Your appointment is confirmed for Monday at 3:30 PM with Dr. Michael.,ham
Just a heads up that I'll be out of office from Thursday to Thursday.,ham
Can you send me the latest version of the proposal? Thanks.,ham
HOT SINGLES IN YOUR AREA ARE WAITING. CLICK HERE TO MEET THEM TONIGHT!,spam
Your package has been shipped. Expected delivery: Friday. Track at claim-prize.co,ham
YOUR PAYPAL ACCOUNT IS LIMITED. CONFIRM YOUR IDENTITY AT SECURE-LOGIN.XYZ IMMEDIATELY.,spam
Thanks for your email. I'll review the presentation and get back to you by Monday.,ham
Investment opportunity: 210% returns guaranteed. Join 5000 investors.,spam
Your appointment is confirmed for Thursday at 2:00 PM with Dr. John.,ham
LOSE 17 LBS IN 21 DAYS! MIRACLE PILL DOCTORS DON'T WANT YOU TO KNOW.,spam
